Period,First Release
2015-12-05,282000.0
2015-11-28,269000.0
2015-11-21,260000.0
2015-11-14,271000.0
2015-11-07,276000.0
2015-10-31,276000.0
2015-10-24,260000.0
2015-10-17,259000.0
2015-10-10,255000.0
2015-10-03,263000.0
2015-09-26,277000.0
2015-09-19,267000.0
2015-09-12,264000.0
2015-09-05,275000.0
2015-08-29,282000.0
2015-08-22,271000.0
2015-08-15,277000.0
2015-08-08,274000.0
2015-08-01,270000.0
2015-07-25,267000.0
2015-07-18,255000.0
2015-07-11,281000.0
2015-07-04,297000.0
2015-06-27,281000.0
2015-06-20,271000.0
2015-06-13,267000.0
2015-06-06,279000.0
2015-05-30,276000.0
2015-05-23,282000.0
2015-05-16,274000.0
2015-05-09,264000.0
2015-05-02,265000.0
2015-04-25,262000.0
2015-04-18,295000.0
2015-04-11,294000.0
2015-04-04,281000.0
2015-03-28,268000.0
2015-03-21,282000.0
2015-03-14,291000.0
2015-03-07,289000.0
2015-02-28,320000.0
2015-02-21,313000.0
2015-02-14,283000.0
2015-02-07,304000.0
2015-01-31,278000.0
2015-01-24,265000.0
2015-01-17,307000.0
2015-01-10,316000.0
2015-01-03,294000.0
2014-12-27,298000.0
2014-12-20,280000.0
2014-12-13,289000.0
2014-12-06,294000.0
2014-11-29,297000.0
2014-11-22,313000.0
2014-11-15,291000.0
2014-11-08,290000.0
2014-11-01,278000.0
2014-10-25,287000.0
2014-10-18,283000.0
2014-10-11,264000.0
2014-10-04,287000.0
2014-09-27,287000.0
2014-09-20,293000.0
2014-09-13,280000.0
2014-09-06,315000.0
2014-08-30,302000.0
2014-08-23,298000.0
2014-08-16,298000.0
2014-08-09,311000.0
2014-08-02,289000.0
2014-07-26,302000.0
2014-07-19,284000.0
2014-07-12,302000.0
2014-07-05,304000.0
2014-06-28,315000.0
2014-06-21,312000.0
2014-06-14,312000.0
2014-06-07,317000.0
2014-05-31,312000.0
2014-05-24,300000.0
2014-05-17,326000.0
2014-05-10,297000.0
2014-05-03,319000.0
2014-04-26,334000.0
2014-04-19,329000.0
2014-04-12,304000.0
2014-04-05,300000.0
2014-03-29,326000.0
2014-03-22,311000.0
2014-03-15,320000.0
2014-03-08,315000.0
2014-03-01,323000.0
2014-02-22,348000.0
2014-02-15,336000.0
2014-02-08,339000.0
2014-02-01,331000.0
2014-01-25,348000.0
2014-01-18,326000.0
2014-01-11,326000.0
2014-01-04,330000.0
2013-12-28,339000.0
2013-12-21,338000.0
2013-12-14,379000.0
2013-12-07,368000.0
2013-11-30,298000.0
2013-11-23,316000.0
2013-11-16,323000.0
2013-11-09,339000.0
2013-11-02,336000.0
2013-10-26,340000.0
2013-10-19,350000.0
2013-10-12,358000.0
2013-10-05,374000.0
2013-09-28,308000.0
2013-09-21,305000.0
2013-09-14,309000.0
2013-09-07,292000.0
2013-08-31,323000.0
2013-08-24,331000.0
2013-08-17,336000.0
2013-08-10,320000.0
2013-08-03,333000.0
2013-07-27,326000.0
2013-07-20,343000.0
2013-07-13,334000.0
2013-07-06,360000.0
2013-06-29,343000.0
2013-06-22,346000.0
2013-06-15,354000.0
2013-06-08,334000.0
2013-06-01,346000.0
2013-05-25,354000.0
2013-05-18,340000.0
2013-05-11,360000.0
2013-05-04,323000.0
2013-04-27,324000.0
2013-04-20,339000.0
2013-04-13,352000.0
2013-04-06,346000.0
2013-03-30,385000.0
2013-03-23,357000.0
2013-03-16,336000.0
2013-03-09,332000.0
2013-03-02,340000.0
2013-02-23,344000.0
2013-02-16,362000.0
2013-02-09,341000.0
2013-02-02,366000.0
2013-01-26,368000.0
2013-01-19,330000.0
2013-01-12,335000.0
2013-01-05,371000.0
2012-12-29,372000.0
2012-12-22,350000.0
2012-12-15,361000.0
2012-12-08,343000.0
2012-12-01,370000.0
2012-11-24,393000.0
2012-11-17,410000.0
2012-11-10,439000.0
2012-11-03,355000.0
2012-10-27,363000.0
2012-10-20,369000.0
2012-10-13,388000.0
2012-10-06,339000.0
2012-09-29,367000.0
2012-09-22,359000.0
2012-09-15,382000.0
2012-09-08,382000.0
2012-09-01,365000.0
2012-08-25,374000.0
2012-08-18,372000.0
2012-08-11,366000.0
2012-08-04,361000.0
2012-07-28,365000.0
2012-07-21,353000.0
2012-07-14,386000.0
2012-07-07,350000.0
2012-06-30,374000.0
2012-06-23,386000.0
2012-06-16,387000.0
2012-06-09,386000.0
2012-06-02,377000.0
2012-05-26,383000.0
2012-05-19,370000.0
2012-05-12,370000.0
2012-05-05,367000.0
2012-04-28,365000.0
2012-04-21,388000.0
2012-04-14,386000.0
2012-04-07,380000.0
2012-03-31,357000.0
2012-03-24,359000.0
2012-03-17,348000.0
2012-03-10,351000.0
2012-03-03,362000.0
2012-02-25,351000.0
2012-02-18,351000.0
2012-02-11,348000.0
2012-02-04,358000.0
2012-01-28,367000.0
2012-01-21,377000.0
2012-01-14,352000.0
2012-01-07,399000.0
2011-12-31,372000.0
2011-12-24,381000.0
2011-12-17,364000.0
2011-12-10,366000.0
2011-12-03,381000.0
2011-11-26,402000.0
2011-11-19,393000.0
2011-11-12,388000.0
2011-11-05,390000.0
2011-10-29,397000.0
2011-10-22,402000.0
2011-10-15,403000.0
2011-10-08,404000.0
2011-10-01,401000.0
2011-09-24,391000.0
2011-09-17,423000.0
2011-09-10,428000.0
2011-09-03,414000.0
2011-08-27,409000.0
2011-08-20,417000.0
2011-08-13,408000.0
2011-08-06,395000.0
2011-07-30,400000.0
2011-07-23,398000.0
2011-07-16,418000.0
2011-07-09,405000.0
2011-07-02,418000.0
2011-06-25,428000.0
2011-06-18,429000.0
